buffer,lon,lat,year,TIN,NO3,NH4
10km,-91.8717943,32.6909704,2008,486.1540222167969,233.49072265625,252.66329956054688
10km,-91.8717943,32.6909704,2009,583.96575927734375,208.4383087158203,375.5274658203125
10km,-91.8717943,32.6909704,2010,350.9709167480469,147.29986572265625,203.67103576660156
10km,-91.8717943,32.6909704,2011,468.92095947265625,201.1765899658203,267.7443542480469
10km,-91.8717943,32.6909704,2012,560.38983154296875,232.0940704345703,328.2957458496094
10km,-91.8717943,32.6909704,2013,464.3802795410156,198.39402770996094,265.98626708984375
10km,-91.8717943,32.6909704,2014,448.6520690917969,192.5355682373047,256.11651611328125
10km,-91.8717943,32.6909704,2015,433.2417907714844,181.63514709472656,251.60665893554688
10km,-91.8717943,32.6909704,2016,561.1898193359375,236.05238342285156,325.1374206542969
10km,-91.8717943,32.6909704,2017,454.46295166015625,184.1193389892578,270.3436279296875
10km,-91.8717943,32.6909704,2018,465.5833435058594,200.26980590820312,265.3135681152344
10km,-91.8717943,32.6909704,2019,658.03533935546875,250.29429626464844,407.7410888671875
10km,-91.8717943,32.6909704,2020,560.64306640625,226.1753387451172,334.4677429199219
10km,-91.9000647,34.7843212,1999,503.5964660644531,269.0505065917969,234.5459747314453
10km,-91.9000647,34.7843212,2000,429.74285888671875,231.6508331298828,198.09201049804688
10km,-91.9000647,34.7843212,2001,493.05242919921875,257.4666748046875,235.58575439453125
10km,-91.9000647,34.7843212,2002,552.21929931640625,275.7894287109375,276.4299011230469
10km,-91.9000647,34.7843212,2003,538.91424560546875,251.11868286132812,287.7955627441406
10km,-91.9000647,34.7843212,2004,576.835693359375,287.9731750488281,288.8625183105469
10km,-91.9000647,34.7843212,2005,407.2007751464844,200.24664306640625,206.95413208007812
10km,-91.9000647,34.7843212,2006,507.86846923828125,240.0457000732422,267.82275390625
10km,-91.9000647,34.7843212,2007,450.8037414550781,207.06117248535156,243.74256896972656
10km,-91.9000647,34.7843212,2008,506.9590148925781,238.96986389160156,267.9891357421875
10km,-91.9000647,34.7843212,2009,743.23419189453125,289.4326477050781,453.8015441894531
